Date,AAPL,MSFT,BRK-B,GE,AMZN,DB
2014-12-31,24.880691528320312,40.65512466430664,150.14999389648438,168.95729064941406,15.517499923706055,27.54977798461914
2015-01-02,24.64402198791504,40.92644119262695,149.1699981689453,167.55325317382812,15.425999641418457,27.962749481201172
2015-01-05,23.949758529663086,40.55009460449219,147.0,164.4776611328125,15.10949993133545,26.44852066040039
2015-01-06,23.952007293701172,39.954925537109375,146.83999633789062,160.93402099609375,14.76449966430664,26.0263729095459
2015-01-07,24.287872314453125,40.462562561035156,148.8800048828125,161.00086975097656,14.920999526977539,26.301685333251953
2015-01-08,25.221067428588867,41.652896881103516,151.3699951171875,162.93984985351562,15.02299976348877,26.35675048828125
2015-01-09,25.24811553955078,41.30281066894531,149.47000122070312,160.66659545898438,14.846500396728516,25.916248321533203
2015-01-12,24.625986099243164,40.786399841308594,148.27999877929688,160.332275390625,14.570500373840332,25.907068252563477
2015-01-13,24.844636917114258,40.57634735107422,148.6300048828125,159.5299835205078,14.737000465393066,26.338396072387695
2015-01-14,24.749961853027344,40.22624588012695,147.82000732421875,158.99505615234375,14.66349983215332,26.35675048828125
2015-01-15,24.0782413482666,39.80613327026367,147.5800018310547,157.65782165527344,14.34749984741211,26.173208236694336
2015-01-16,23.891143798828125,40.47132110595703,149.2100067138672,157.7246856689453,14.536999702453613,26.31086540222168
2015-01-20,24.506511688232422,40.602596282958984,148.6300048828125,159.4630584716797,14.472000122070312,26.907377243041992
2015-01-21,24.693607330322266,40.191246032714844,147.17999267578125,160.73345947265625,14.862500190734863,27.366235733032227
2015-01-22,25.336029052734375,41.25027847290039,150.14999389648438,162.3380889892578,15.515999794006348,27.751672744750977
2015-01-23,25.46676254272461,41.29404067993164,149.1199951171875,163.6753387451172,15.619500160217285,26.85231590270996
2015-01-26,25.493812561035156,41.14524841308594,149.6999969482422,164.41078186035156,15.482999801635742,27.210224151611328
2015-01-27,24.601194381713867,37.33793258666992,147.64999389648438,163.0067138671875,15.337499618530273,26.503583908081055
2015-01-28,25.991968154907227,36.05133819580078,144.77999877929688,159.39622497558594,15.195500373840332,25.631755828857422
2015-01-29,26.801185607910156,36.76902770996094,146.2899932861328,161.00086975097656,15.58899974822998,27.008325576782227
2015-01-30,26.408971786499023,35.359886169433594,143.91000366210938,159.7305145263672,17.726499557495117,26.595355987548828
2015-02-02,26.740324020385742,36.130096435546875,146.72999572753906,161.8700714111328,18.223499298095703,27.687435150146484
2015-02-03,26.744834899902344,36.4101676940918,148.2899932861328,163.6084442138672,18.177499771118164,28.797866821289062
2015-02-04,26.9499568939209,36.62024688720703,147.52999877929688,161.5357666015625,18.237499237060547,28.10958480834961
2015-02-05,27.14231300354004,37.154144287109375,149.6699981689453,163.80902099609375,18.694499969482422,28.5317325592041
2015-02-06,26.91374969482422,37.11913299560547,150.17999267578125,163.94271850585938,18.714000701904297,27.944395065307617
2015-02-09,27.092531204223633,37.07536697387695,149.1300048828125,164.74505615234375,18.527999877929688,27.88932991027832
2015-02-10,27.61301040649414,37.28541564941406,149.9199981689453,165.27993774414062,18.649999618530273,27.90768814086914
2015-02-11,28.260231018066406,37.09286880493164,149.67999267578125,165.61424255371094,18.756999969482422,27.687435150146484
2015-02-12,28.61778450012207,37.71428680419922,149.7899932861328,166.4165802001953,18.85849952697754,28.990591049194336
2015-02-13,28.75808334350586,38.39698791503906,148.33999633789062,168.15493774414062,19.09149932861328,29.63298988342285
2015-02-17,28.92780876159668,38.41461181640625,149.1699981689453,168.28871154785156,18.771499633789062,29.917478561401367
2015-02-18,29.129215240478516,38.37053680419922,148.6699981689453,168.82357788085938,18.668500900268555,30.091848373413086
2015-02-19,29.068113327026367,38.34409713745117,147.47999572753906,168.75611877441406,18.950000762939453,29.917478561401367
2015-02-20,29.305728912353516,38.66142654418945,148.72000122070312,170.10565185546875,19.183000564575195,30.688358306884766
2015-02-23,30.0977725982666,38.917057037353516,147.3699951171875,169.8357391357422,19.006999969482422,30.165264129638672
2015-02-24,29.909944534301758,38.86417007446289,148.9499969482422,171.32020568847656,18.929500579833984,30.422224044799805
2015-02-25,29.145057678222656,38.77602767944336,148.77999877929688,174.82891845703125,19.26849937438965,30.15608787536621
2015-02-26,29.513925552368164,38.83772277832031,148.33999633789062,174.69395446777344,19.239999771118164,29.926660537719727
2015-02-27,29.070383071899414,38.65260314941406,147.41000366210938,175.36874389648438,19.007999420166016,30.03678321838379
2015-03-02,29.212947845458984,38.679054260253906,147.0800018310547,176.1783905029297,19.283000946044922,30.211145401000977
2015-03-03,29.274049758911133,38.150177001953125,145.92999267578125,174.49154663085938,19.230499267578125,29.614635467529297
2015-03-04,29.088481903076172,37.95624923706055,144.9199981689453,173.14202880859375,19.13599967956543,29.522863388061523
2015-03-05,28.60646629333496,38.00031280517578,146.05999755859375,174.22158813476562,19.39150047302246,29.5595703125
2015-03-06,28.64946174621582,37.3392219543457,145.27999877929688,171.5226287841797,19.004499435424805,29.229196548461914
2015-03-09,28.77166748046875,37.77113723754883,146.1300048828125,173.007080078125,18.92799949645996,29.339319229125977
2015-03-10,28.176502227783203,37.0483283996582,143.19000244140625,169.8357391357422,18.475500106811523,28.595972061157227
2015-03-11,27.662799835205078,37.00425720214844,143.44000244140625,169.97064208984375,18.318500518798828,28.981412887573242
2015-03-12,28.162921905517578,36.158042907714844,145.6699981689453,171.38763427734375,18.711999893188477,29.09153938293457
2015-03-13,27.968299865722656,36.47537612915039,143.97000122070312,168.95852661132812,18.52899932861328,29.201663970947266
2015-03-16,28.276071548461914,36.634033203125,145.97999572753906,171.7250213623047,18.667499542236328,30.018428802490234
2015-03-17,28.749034881591797,36.757442474365234,144.75,170.78041076660156,18.59600067138672,29.788999557495117
2015-03-18,29.072643280029297,37.46262741088867,146.0,173.007080078125,18.756999969482422,30.367158889770508
2015-03-19,28.853130340576172,37.277523040771484,144.8800048828125,170.9153289794922,18.66200065612793,30.211145401000977
2015-03-20,28.491056442260742,37.797576904296875,145.52999877929688,171.38763427734375,18.92449951171875,31.33993911743164
2015-03-23,28.787500381469727,37.779945373535156,145.55999755859375,171.8599853515625,18.75550079345703,31.85385513305664
2015-03-24,28.669832229614258,37.81520080566406,144.2899932861328,170.51046752929688,18.704500198364258,32.285186767578125
2015-03-25,27.920780181884766,36.5458984375,143.55999755859375,168.08132934570312,18.54800033569336,31.945632934570312
2015-03-26,28.115398406982422,36.325523376464844,143.02999877929688,167.33912658691406,18.36750030517578,31.633604049682617
2015-03-27,27.891359329223633,36.11397933959961,143.88999938964844,167.74400329589844,18.527999877929688,31.633604049682617
2015-03-30,28.597415924072266,36.105159759521484,145.97999572753906,169.49835205078125,18.72949981689453,32.09246826171875
2015-03-31,28.15839195251465,35.840702056884766,144.32000732421875,167.4066162109375,18.604999542236328,31.872209548950195
